id,category,prompt,reference_answer,notes
R01,reasoning,An có nhiều hơn Bình 3 viên bi. Nếu An cho Bình 5 viên thì ai có nhiều bi hơn và hơn bao nhiêu viên?,Bình hơn An 7 viên (An: x+3−5 = x−2; Bình: x+5 → chênh lệch 7).,Bẫy: nhiều model trả lời 'Bình hơn 2 viên'
R02,reasoning,"Có 3 người A, B, C. Mỗi người hoặc luôn nói thật hoặc luôn nói dối. A nói: 'B nói dối'. B nói: 'C nói thật'. C nói: 'A và B cùng loại (cùng thật hoặc cùng dối)'. Ai nói thật, ai nói dối?","A nói thật, B nói dối, C nói dối. (A thật → B dối → C dối; câu của C 'A, B cùng loại' sai vì A thật B dối → nhất quán. A dối → B thật → C thật, nhưng A và B khác loại nên câu của C sai → mâu thuẫn.)",Logic 3 người + ràng buộc loại; model hay dừng sớm hoặc mâu thuẫn
R03,reasoning,"Năm bạn An, Bình, Cường, Dũng, Em ngồi thành một hàng. An không ngồi cạnh Bình. Cường ngồi giữa An và Dũng. Em ngồi sát mép bên trái. Bình ngồi ngay bên phải Cường. Ai ngồi ở vị trí giữa (thứ 3)?",Cường. Sơ đồ duy nhất hợp lệ: Em – An – Cường – Bình – Dũng.,Xếp chỗ có nhiều ràng buộc; model dễ bỏ sót 'An không cạnh Bình' hoặc đảo vị trí
R04,reasoning,"Nông dân cần đưa 1 con chó, 1 con gà và 1 bao thóc qua sông. Thuyền chỉ chở được ông + 1 vật. Không để chó với gà, cũng không để gà với thóc khi ông vắng. Trình tự tối thiểu các lần qua sông?",7 lần: (1) Đưa gà sang → (2) quay lại → (3) đưa chó (hoặc thóc) sang → (4) mang gà về → (5) đưa thóc (hoặc chó) sang → (6) quay lại → (7) đưa gà sang.,Bài toán sông kinh điển; bẫy bỏ bước mang gà về hoặc đếm sai số lần
A01,arithmetic,"Một áo giá 350.000đ, giảm 20% rồi giảm tiếp 10% trên giá đã giảm. Người mua phải trả bao nhiêu tiền?","252.000đ (350.000 × 0,8 × 0,9).",Bẫy: cộng dồn thành giảm 30% → 245.000đ
A02,arithmetic,Gửi ngân hàng 50 triệu đồng với lãi suất kép 6%/năm. Sau đúng 3 năm số tiền nhận được (gốc + lãi) là bao nhiêu? (làm tròn đến nghìn đồng gần nhất),"59.551.000đ (50.000.000 × 1,06³ = 59.550.800 ≈ 59.551.000).",Lãi kép; bẫy model tính lãi đơn = 59.000.000
A03,arithmetic,"Chuyến bay khởi hành 22:30 giờ Hà Nội (UTC+7), bay 13 giờ 45 phút đến Los Angeles (UTC−8). Máy bay đến lúc mấy giờ theo giờ địa phương Los Angeles?",21:15 cùng ngày khởi hành theo giờ Los Angeles. (22:30 HN = 15:30 UTC ngày D; +13h45 = 05:15 UTC ngày D+1; LA UTC-8 → 21:15 ngày D).,"Tính giờ múi giờ; bẫy cộng trừ sai 15h hoặc quên qua ngày UTC. Lưu ý: LA dùng UTC−7 vào mùa hè; prompt đã cố định UTC−8 nên chấm theo UTC−8, model tự đổi sang −7 là không làm theo đề."
A04,arithmetic,"Cửa hàng nhập 120 kg gạo giá 18.000đ/kg. Bán 80 kg với giá 25.000đ/kg, 40 kg còn lại bán 22.000đ/kg. Tính tổng lãi và tỷ lệ lãi trên vốn (làm tròn % nguyên gần nhất).","Lãi 720.000đ; tỷ lệ ≈ 33% (vốn = 120×18.000 = 2.160.000; doanh thu = 80×25.000 + 40×22.000 = 2.880.000; lãi = 720.000; 720.000/2.160.000 ≈ 33,3%).",Nhiều mức giá; bẫy tính sai phần còn lại hoặc chia nhầm
K01,vn_knowledge,Chiến dịch Điện Biên Phủ kết thúc thắng lợi vào ngày nào?,7 tháng 5 năm 1954 (1954-05-07).,Kiến thức lịch sử cơ bản; model yếu tiếng Việt có thể nhầm ngày bắt đầu (13/3) với ngày kết thúc
K02,vn_knowledge,Tác phẩm 'Tắt đèn' của nhà văn nào? Nhân vật chính là ai?,Ngô Tất Tố; nhân vật chính là chị Dậu.,Văn học lớp 8-9; bẫy nhầm với Nam Cao hoặc Vũ Trọng Phụng
